tempo_sk,data_completa,ano,mes,dia,dia_semana,trimestre,trimestre_fiscal,eh_fim_mes,eh_fim_trimestre,eh_fim_ano,eh_feriado_bancario
351,2014-08-17,2014,8,17,Sunday,3,3,False,False,False,False
352,2014-08-18,2014,8,18,Monday,3,3,False,False,False,False
353,2014-08-19,2014,8,19,Tuesday,3,3,False,False,False,False
354,2014-08-20,2014,8,20,Wednesday,3,3,False,False,False,False
355,2014-08-21,2014,8,21,Thursday,3,3,False,False,False,False
356,2014-08-22,2014,8,22,Friday,3,3,False,False,False,False
357,2014-08-23,2014,8,23,Saturday,3,3,False,False,False,False
358,2014-08-24,2014,8,24,Sunday,3,3,False,False,False,False
359,2014-08-25,2014,8,25,Monday,3,3,False,False,False,False
360,2014-08-26,2014,8,26,Tuesday,3,3,False,False,False,False
361,2014-08-27,2014,8,27,Wednesday,3,3,False,False,False,False
362,2014-08-28,2014,8,28,Thursday,3,3,False,False,False,False
363,2014-08-29,2014,8,29,Friday,3,3,False,False,False,False
364,2014-08-30,2014,8,30,Saturday,3,3,False,False,False,False
365,2014-08-31,2014,8,31,Sunday,3,3,True,False,False,False
366,2014-09-01,2014,9,1,Monday,3,3,False,False,False,True
367,2014-09-02,2014,9,2,Tuesday,3,3,False,False,False,False
368,2014-09-03,2014,9,3,Wednesday,3,3,False,False,False,False
369,2014-09-04,2014,9,4,Thursday,3,3,False,False,False,False
370,2014-09-05,2014,9,5,Friday,3,3,False,False,False,False
371,2014-09-06,2014,9,6,Saturday,3,3,False,False,False,False
372,2014-09-07,2014,9,7,Sunday,3,3,False,False,False,False
373,2014-09-08,2014,9,8,Monday,3,3,False,False,False,False
374,2014-09-09,2014,9,9,Tuesday,3,3,False,False,False,False
375,2014-09-10,2014,9,10,Wednesday,3,3,False,False,False,False
376,2014-09-11,2014,9,11,Thursday,3,3,False,False,False,False
377,2014-09-12,2014,9,12,Friday,3,3,False,False,False,False
378,2014-09-13,2014,9,13,Saturday,3,3,False,False,False,False
379,2014-09-14,2014,9,14,Sunday,3,3,False,False,False,False
380,2014-09-15,2014,9,15,Monday,3,3,False,False,False,False
381,2014-09-16,2014,9,16,Tuesday,3,3,False,False,False,False
382,2014-09-17,2014,9,17,Wednesday,3,3,False,False,False,False
383,2014-09-18,2014,9,18,Thursday,3,3,False,False,False,False
384,2014-09-19,2014,9,19,Friday,3,3,False,False,False,False
385,2014-09-20,2014,9,20,Saturday,3,3,False,False,False,False
386,2014-09-21,2014,9,21,Sunday,3,3,False,False,False,False
387,2014-09-22,2014,9,22,Monday,3,3,False,False,False,False
388,2014-09-23,2014,9,23,Tuesday,3,3,False,False,False,False
389,2014-09-24,2014,9,24,Wednesday,3,3,False,False,False,False
390,2014-09-25,2014,9,25,Thursday,3,3,False,False,False,False
391,2014-09-26,2014,9,26,Friday,3,3,False,False,False,False
392,2014-09-27,2014,9,27,Saturday,3,3,False,False,False,False
393,2014-09-28,2014,9,28,Sunday,3,3,False,False,False,False
